"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","506","Регистрация нового пользователя","tests.backend.auth","Tue Aug 26 11:19:29 MSK 2025","passed","Tue Aug 26 11:19:30 MSK 2025","","test_user_authentication","",""
"","16","Попытка входа с неверными данными","tests.backend.auth","Tue Aug 26 11:19:36 MSK 2025","passed","Tue Aug 26 11:19:36 MSK 2025","","test_user_authentication","",""
"","25","Попытка добавления товара с невалидным количеством","tests.backend.cart","Tue Aug 26 11:19:44 MSK 2025","skipped","Tue Aug 26 11:19:44 MSK 2025","","test_shopping_cart_operations","",""
"","4","Попытка регистрации с невалидным password","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"","3","Попытка входа без авторизации","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"","13","Попытка входа с неверными данными","tests.backend.auth","Tue Aug 26 11:19:33 MSK 2025","passed","Tue Aug 26 11:19:33 MSK 2025","","test_user_authentication","",""
"","11","Попытка создания заказа с пустой корзиной","tests.backend.orders","Tue Aug 26 11:19:55 MSK 2025","passed","Tue Aug 26 11:19:55 MSK 2025","","test_order_operations","",""
"","13","Попытка добавления товара с невалидным количеством","tests.backend.cart","Tue Aug 26 11:19:43 MSK 2025","skipped","Tue Aug 26 11:19:43 MSK 2025","","test_shopping_cart_operations","",""
"","14","Проверка структуры товара","tests.backend.catalog","Tue Aug 26 11:19:51 MSK 2025","passed","Tue Aug 26 11:19:51 MSK 2025","","test_product_catalog","",""
"","4","Попытка регистрации с невалидным password","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"","14","Попытка получения несуществующего заказа","tests.backend.orders","Tue Aug 26 11:19:54 MSK 2025","passed","Tue Aug 26 11:19:54 MSK 2025","","test_order_operations","",""
"","8","Попытка удаления несуществующего товара из корзины","tests.backend.cart","Tue Aug 26 11:19:45 MSK 2025","skipped","Tue Aug 26 11:19:45 MSK 2025","","test_shopping_cart_operations","",""
"","433","Проверка структуры JWT токена","tests.backend.auth","Tue Aug 26 11:19:38 MSK 2025","passed","Tue Aug 26 11:19:39 MSK 2025","","test_user_authentication","",""
"","5","Попытка регистрации с невалидным password","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"","10","Попытка создания заказа без авторизации","tests.backend.orders","Tue Aug 26 11:19:54 MSK 2025","passed","Tue Aug 26 11:19:54 MSK 2025","","test_order_operations","",""
"","898","Вход пользователя в систему","tests.backend.auth","Tue Aug 26 11:19:31 MSK 2025","passed","Tue Aug 26 11:19:32 MSK 2025","","test_user_authentication","",""
"","13","Сортировка товаров по цене","tests.backend.catalog","Tue Aug 26 11:19:48 MSK 2025","passed","Tue Aug 26 11:19:48 MSK 2025","","test_product_catalog","",""
"","6","Попытка регистрации с невалидным username","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"","5","Попытка регистрации с невалидным username","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"","13","Попытка регистрации с невалидным username","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"Тест на защиту от XSS атак в поле username","41","Тест на XSS в username","tests.backend","Tue Aug 26 11:19:57 MSK 2025","passed","Tue Aug 26 11:19:57 MSK 2025","","test_edge_cases","",""
"","19","Удаление товара из корзины","tests.backend.cart","Tue Aug 26 11:19:41 MSK 2025","passed","Tue Aug 26 11:19:41 MSK 2025","","test_shopping_cart_operations","",""
"","535","Попытка входа с неверными данными","tests.backend.auth","Tue Aug 26 11:19:35 MSK 2025","passed","Tue Aug 26 11:19:35 MSK 2025","","test_user_authentication","",""
"","14","Создание заказа","tests.backend.orders","Tue Aug 26 11:19:52 MSK 2025","passed","Tue Aug 26 11:19:52 MSK 2025","","test_order_operations","",""
"Тест на обработку очень длинных значений полей","447","Тест на очень длинные значения","tests.backend","Tue Aug 26 11:19:57 MSK 2025","passed","Tue Aug 26 11:19:58 MSK 2025","","test_edge_cases","",""
"","7","Попытка регистрации с невалидным username","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"","10","Получение деталей заказа","tests.backend.orders","Tue Aug 26 11:19:53 MSK 2025","passed","Tue Aug 26 11:19:53 MSK 2025","","test_order_operations","",""
"","25","Проверка очистки корзины после создания заказа","tests.backend.orders","Tue Aug 26 11:19:57 MSK 2025","passed","Tue Aug 26 11:19:57 MSK 2025","","test_order_operations","",""
"Тест на обработку специальных символов в username","28","Тест на специальные символы в username","tests.backend","Tue Aug 26 11:19:58 MSK 2025","passed","Tue Aug 26 11:19:58 MSK 2025","","test_edge_cases","",""
"","839","Попытка получения заказа другого пользователя","tests.backend.orders","Tue Aug 26 11:19:56 MSK 2025","passed","Tue Aug 26 11:19:56 MSK 2025","","test_order_operations","",""
"","4","Попытка регистрации с невалидным password","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"","12","Получение каталога товаров","tests.backend.catalog","Tue Aug 26 11:19:46 MSK 2025","passed","Tue Aug 26 11:19:46 MSK 2025","","test_product_catalog","",""
"","22","Добавление товара в корзину","tests.backend.cart","Tue Aug 26 11:19:39 MSK 2025","passed","Tue Aug 26 11:19:39 MSK 2025","","test_shopping_cart_operations","",""
"","20","Получение содержимого корзины","tests.backend.cart","Tue Aug 26 11:19:40 MSK 2025","passed","Tue Aug 26 11:19:40 MSK 2025","","test_shopping_cart_operations","",""
"","5","Попытка регистрации с невалидным password","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"","9","Попытка регистрации с существующим username","tests.backend.auth","Tue Aug 26 11:19:37 MSK 2025","passed","Tue Aug 26 11:19:37 MSK 2025","","test_user_authentication","",""
"Тест на защиту от SQL инъекций в поле username","35","Тест на SQL инъекцию в username","tests.backend","Tue Aug 26 11:19:57 MSK 2025","passed","Tue Aug 26 11:19:57 MSK 2025","","test_edge_cases","",""
"","13","Фильтрация товаров по бренду","tests.backend.catalog","Tue Aug 26 11:19:50 MSK 2025","passed","Tue Aug 26 11:19:50 MSK 2025","","test_product_catalog","",""
